Title,Summary,Publication Date,Source,URL
Israeli airstrike on Gaza school,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Typhoon Yagi,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Cruise ship’s ‘Titanic moment’,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
City’s warning for British tourists,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
7 critical nutrients,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Video Music Awards 2024,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
On board a medical train ferrying Ukraine’s frontline wounded soldiers to hospitals around the country,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Russian ship suspected of delivering Iranian ballistic missiles seen at Caspian Sea port,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"From convict to combatant, Ukraine enlists prisoners to fight Russian forces",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
‘Incredibly alarming’: What Trump’s answer about Ukraine tells ex-Pence adviser,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"A photographer traveled 10,000 miles through Ukraine. This is what he saw",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Trump allies do damage control as Harris rides fresh momentum post debate,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
How Taylor Swift’s endorsement of Harris matters,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Haberman: Debate was arguably ’Trump’s worst’,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
South Korean soccer player says Chinese authorities forced him to confess to match-fixing,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
The best red carpet looks from MTV’s Video Music Awards 2024,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Catch up on today’s global news,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
A CEO went missing. Then his bank got a mysterious bill for $11 million,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
SpaceX’s Polaris Dawn crew to attempt first commercial spacewalk,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Typhoon Yagi continues to devastate Vietnam leaving around 200 dead,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"Israeli airstrike on Gaza school sheltering displaced people kills at least 18, including UN staff, officials say",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Biden condemns death of American woman killed by IDF in the West Bank,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
IDF releases video of Gaza tunnel where it says hostages were killed,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Trump’s social media stock plunges to record low,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Peru’s ex-leader Alberto Fujimori dies,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Police say Bon Jovi saved a woman they say tried to jump from a bridge,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Billions aren’t eating enough of 7 critical nutrients,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
‘Titanic moment’ as cruise ship collides with large piece of ice,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"Sony unveils faster, more powerful PlayStation 5 Pro. And it comes with a price tag to match",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Mother of Georgia shooter apologizes to victims’ families in open letter,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Police rescue 402 children after sex abuse allegations at Islamic welfare homes in Malaysia,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
A park visitor dropping a bag of Cheetos into a cave wreaked havoc on its ecosystem,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
The long and complex political legacy of 9/11,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
British tourists urged to keep their clothes on in Spanish city,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
New sculpture of late Queen Elizabeth II and Prince Philip raises eyebrows,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
A hotel is offering ‘self-love pods’ for solo play. Here’s why that’s a thing,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Top moments from the 40th MTV Video Music Awards,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Hockey player banned after trying to buy cocaine at Olympics,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Timelapse shows wildfire engulf mountain,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
European travelers will have to pay to enter the UK in 2025,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Snakes and crocodiles swept into neighborhoods as floods hit zoo,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
What spending too much time on your phone can do to your kids,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Video shows bridge collapse as typhoon sweeps through Vietnam,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"Jon Bon Jovi helped persuade a woman to come off the ledge of a bridge, police say",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
China is trying to make it easier for foreign tourists to visit. Here’s how that’s going,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Drought-hit Danube River reveals scuttled German World War II ships,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Giant bubbles on the surface of a star provide glimpse into the sun’s future,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Tom Cruise’s payday for that Olympic stunt may surprise you,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
This tech company thinks we’ll be wearing screens one day,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Brazil and Argentina both lose World Cup qualifying matches,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
NFL star Patrick Mahomes won’t endorse Trump or Harris for US president,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Bright lights detected by NASA lead to a dancing pair of supermassive black holes,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Physics breakthrough brings nuclear clock closer to reality,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Yellow food dye found in chips and candy corn can make skin transparent in mice,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Rare fossils of giant flying reptile the size a small airplane reveal flight style,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"A pregnant shark was monitored for 5 months, then disappeared. Scientists now know its fate",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
People are angry at Gen Z taking photos of airport trays. Here’s what’s really going on,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
How a Soviet-era accident created one of Turkmenistan’s most popular attractions,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
They were due to leave for their dream cruise in May. Three months on they’re still stuck at the departure port,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
She met a man on a rooftop bar on her first night in Paris. Her life changed forever,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
End of an era: The big change coming to European travel in November,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Wild comeback: Dow bounce erases 700-point one-day dip,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Harris and Trump kept talking about pumping more oil. There’s a problem with that,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
BurgerFi files for Chapter 11 bankruptcy,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
‘Founder mode’ is the latest Silicon Valley buzzword telling toxic bosses they’re great,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Starbucks’ new CEO wants to make Starbucks a coffee shop again,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"After 155 years, the Campbell Soup company is changing its name",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"Glenn Lowry, director of New York’s Museum of Modern Art, to step down after 30 years",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"Blake Lively recently wore a $19,000 pair. How much is too much to spend on jeans?",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Painting found in attic could be a Rembrandt,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"Long-lost copy of the US Constitution, found in North Carolina filing cabinet, heads to auction",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
New York Fashion Week: Highlights from the Spring-Summer 2025 runways,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Brazil and Argentina both lose World Cup qualifying matches,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Four Olympic medals stolen from Australian rower’s car,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Dolphins QB became ‘emotional’ while watching body-cam video of Tyreek Hill being detained by police,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Mauricio Pochettino announced as new US Soccer men’s national team head coach,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
CNN Flash Poll: Majority of debate watchers say Harris outperformed Trump onstage,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Harris and Trump shake hands at New York 9/11 remembrance ceremony on 23rd anniversary of attacks,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Senior Republicans urge Biden to lift restrictions on Ukraine hitting targets deep inside Russia,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"Melania Trump ramps up her campaign presence by raising questions about the attack on her husband, 2020 election results",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Preparing for the apocalypse: Here’s why collaboration is essential,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"Lead, arsenic and other heavy metals in tampons prompt FDA investigation",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"Fat isn’t always a bad word, but where it is stored matters. Here’s what makes a difference",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
These common chemicals could affect your health all over your body,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
The hidden danger of energy drinks. A doctor explains,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Hundreds of workers strike at major Samsung factory in India,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
The two words Apple never mentioned at its iPhone 16 event,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Australia plans a minimum age limit for social media use,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
42 state attorneys general demand a Surgeon General warning label for social media apps,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"Beyoncé stayed in $100,000 per night suite in the Middle East’s ‘best hotel’",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Inside Michael Jordan’s slice of paradise,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
World’s biggest twin-engine private jet gets a luxury cabin concept,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
This house is built on some of the most expensive property in Africa. Take a look inside,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Why modern ships are looking to wind power,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
How the ‘Arabian unicorn’ came back from the brink,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Meet the artist transforming tennis balls into furniture,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"From convict to combatant, Ukraine enlists prisoners to fight Russian forces",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Protesters clash with police at Australia defense show,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
European travelers will have to pay to enter the UK in 2025,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Inside Kamala Harris’ yearslong crash course in foreign diplomacy,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Controversial judicial reform passes Mexican Senate after protesters break into chamber,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
NASA sets sights on another ‘world that might be habitable today’,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
Israeli official floats safe passage for Oct. 7 architect Yahya Sinwar in return for hostages,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
The Small City with Big Ambitions,No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
"2 Delta planes collide while taxiing at Atlanta airport, knocking tail section from one",No summary available,2024-09-12 12:33:16,CNN,https://www.cnn.com/
No title,"At least 18 people were reportedly killed in the strike, which Israel says targeted Hamas fighters.",No date,BBC,https://www.bbc.com/news/articles/clyn400rm68o
Why improving your nutrition will help you think better,Emily Nkhana shares tips with the BBC on how to make banana wine. ,No date,BBC,https://www.bbc.com/news/articles/cly35nvk9n7o
No title,"New chief executive tells staff that a strike would put the embattled firm's ""recovery in jeopardy"".",No date,BBC,https://www.bbc.com/news/articles/cn0202k95gyo
No title,"Sorry, we're unable to bring you the page you're looking for.
                                    Please try:
                                ",No date,BBC,https://www.bbc.comhttps://www.bbc.co.uk/news
No title,"People have ""every right to be angry"", Sir Keir Starmer to say, as review criticises state of the health service in England.",No date,BBC,https://www.bbc.com/news/politics
No title,"Sorry, we're unable to bring you the page you're looking for.
                                    Please try:
                                ",No date,BBC,https://www.bbc.comhttps://www.bbc.co.uk/news
No title,"Sorry, we're unable to bring you the page you're looking for.
                                    Please try:
                                ",No date,BBC,https://www.bbc.comhttps://www.bbc.co.uk/news
9/11 Truther Questions Why There Were Two Huge Bullseyes Painted On Side Of Twin Towers,,No date,The Onion,https://www.theonion.comhttps://theonion.com/9-11-truther-questions-why-there-were-two-huge-bullseyes-painted-on-side-of-twin-towers/
"‘I Can’t See It,’ Reports Child At Every Zoo Exhibit",No summary,No date,The Onion,https://www.theonion.comhttps://theonion.com/i-cant-see-it-reports-child-at-every-zoo-exhibit/
Trump Avoids Answering Hard Questions By Pretending He Shot In Ear Again,No summary,No date,The Onion,https://www.theonion.comhttps://theonion.com/trump-avoids-answering-hard-questions-by-pretending-he-shot-in-ear-again/
Dems Alarmed By Joe Biden’s Poor Performance As Debate Viewer,No summary,No date,The Onion,https://www.theonion.comhttps://theonion.com/dems-alarmed-by-joe-bidens-poor-performance-as-debate-viewer/
Trump Tries To Rattle Harris By Turning Eyelids Inside Out,No summary,No date,The Onion,https://www.theonion.comhttps://theonion.com/trump-tries-to-rattle-harris-by-turning-eyelids-inside-out/
Baby Boomers Leave Entire $78.55 Trillion Fortune To Single Spoiled Pomeranian,No summary,No date,The Onion,https://www.theonion.comhttps://theonion.com/baby-boomers-leave-entire-78-55-trillion-fortune-to-single-spoiled-pomeranian/
Baby Boomers Leave Entire $78.55 Trillion Fortune To Single Spoiled Pomeranian,No summary,No date,The Onion,https://www.theonion.comhttps://theonion.com/baby-boomers-leave-entire-78-55-trillion-fortune-to-single-spoiled-pomeranian/
9/11 Truther Questions Why There Were Two Huge Bullseyes Painted On Side Of Twin Towers,No summary,No date,The Onion,https://www.theonion.comhttps://theonion.com/9-11-truther-questions-why-there-were-two-huge-bullseyes-painted-on-side-of-twin-towers/
Sweetgreen Expands Line Of Kids’ Meals For Adult Women With Eating Disorders,No summary,No date,The Onion,https://www.theonion.comhttps://theonion.com/sweetgreen-expands-line-of-kids-meals-for-adult-women-with-eating-disorders/
Baby Boomers Leave Entire $78.55 Trillion Fortune To Single Spoiled Pomeranian,No summary,No date,The Onion,https://www.theonion.comhttps://theonion.com/baby-boomers-leave-entire-78-55-trillion-fortune-to-single-spoiled-pomeranian/
"Today’s Historic Front Page: September 10, 2024",No summary,No date,The Onion,https://www.theonion.comhttps://theonion.com/todays-historic-front-page-september-10-2024/
"‘I Can’t See It,’ Reports Child At Every Zoo Exhibit",No summary,No date,The Onion,https://www.theonion.comhttps://theonion.com/i-cant-see-it-reports-child-at-every-zoo-exhibit/
